Filename,Query ID,Song ID,Title,Original artist,Class label
q72.wav,q72,1564, Stand by me, Ben E King, standbyme
q73.wav,q73,204, Bohemian Rapsody, Queen, bohemianr
q74.wav,q74,253, Cant buy me love, The Beatles, cantbuy
q75.wav,q75,479, Enjoy the silence, Depeche Mode, enjoysilen
q76.wav,q76,646, A hard days night, The Beatles, harddays
q77.wav,q77,668, Help, The Beatles, help
q78.wav,q78,70, All my loving, The Beatles, allmyloving
q79.wav,q79,995, Love me tender, Poulton and Fosdik, lovemetend
q80.wav,q80,1139, My way, Claude Francois, myway
q81.wav,q81,1142, You make me feel like a natural woman, Aretha Franklin, naturalwom
q82.wav,q82,1252, Only you, The Platters, onlyyou
q83.wav,q83,126, Take the A train, Duke Ellington, atrain
q84.wav,q84,1719, You have got a friend, Carole King, ugotafrie
q85.wav,q85,2045, Over the rainbow, Judy Garland, overrainbow
q86.wav,q86,2074, America, Simon and Garfunkel, america
q87.wav,q87,2115, I dont want to miss a thing, Aerosmith, inomissath
q88.wav,q88,276, Chega de saudade, Elizete Cardoso, chegadesau
q89.wav,q89,646, A hard days night, The Beatles, harddays
q90.wav,q90,1175, Night and day, Fred Astaire and Claire Luce, nightday
q91.wav,q91,1488, She said she said, The Beatles, shesaidshe
q92.wav,q92,1794, We can work it out, The Beatles, wecanwork
q93.wav,q93,2086, Cecilia, Simon and Garfunkel, cecilia
q94.wav,q94,2090, Cocaine, J J Cale, cocaine
q95.wav,q95,2208, That will be the day, The Crickets, thatllbetd
q96.wav,q96,597, Give peace a chance, Plastic Ono Band, givepeace
q97.wav,q97,768, Imagine, John Lennon, imagine
q98.wav,q98,1066, Mediterraneo, Joan Manuel Serrat, mediterran
q99.wav,q99,1209, No woman no cry, Bob Marley, nowomanno
q100.wav,q100,1510, Smoke on the water, Deep Purple, smokewtr
q101.wav,q101,1546, Stairway to heaven, Led Zeppelin, stairway2h
q102.wav,q102,1576, Strangers in the night, Bert Kaempfert, strangers
q103.wav,q103,1835, What a wonderful world, Louis Armstrong, wonderfulwo
q104.wav,q104,2090, Cocaine, J J Cale, cocaine
q105.wav,q105,2133, More than words, Extreme, morethwor
q106.wav,q106,768, Imagine, John Lennon, imagine
q107.wav,q107,814, In the mood, Joe Garland and Andy Razaf, inthemood
q108.wav,q108,995, Love me tender, Poulton and Fosdik, lovemetend
q109.wav,q109,1185, No me importa nada, Luz Casal, nomeimpor
q110.wav,q110,941, Let it be, The Beatles, letitbe
q111.wav,q111,2113, I dont like mondays, The Boomtown Rats, inomondays
q112.wav,q112,2026, Born to be wild, Steppenwolf, bort2bwi
q113.wav,q113,2056, Sweet home Alabama, Lynyrd Skynyrd, sweethome
q114.wav,q114,479, Enjoy the silence, Depeche Mode, enjoysilen
q115.wav,q115,1747, Vivir asi es morir de amor, Camilo Sesto, vivirasies
q116.wav,q116,2024, You really got me, The Kinks, reallygotme
q117.wav,q117,281, Chica de ayer, Nacha pop, chicaayer
q118.wav,q118,70, All my loving, The Beatles, allmyloving
